Sample,SampleName,AT1G22630,AT1G22620,AT1G22610,Tissue,Ecotype,Genotype,Treatment,Project,TotalReads,UniqueMappedRatio,ReleaseDate
DRX007662,Arabidopsis WT-Col mRNA_seq,37.66,28.68,0,--,Col-0,wild type,--,PRJDB2180,30664389,0.8615,4/2/2014
DRX007663,Arabidopsis ibm1-4 mRNA_seq,35.22,30.74,0,--,Col-0,ibm1-4,--,PRJDB2180,38551905,0.9114,4/2/2014
DRX007664,Arabidopsis ibm2-2 mRNA_seq,33.39,28.81,0,--,Col-0,ibm2-2,--,PRJDB2180,37223057,0.8343,4/2/2014
DRX014481,Y1,8.22,21.83,0,root,--,wild type,--,PRJDB1593,95012910,0.8982,2/5/2016
DRX014482,Y2,8.53,26.05,0,root,--,wild type,--,PRJDB1593,163269003,0.9293,2/5/2016
DRX014483,Y9,6.79,28.1,0,root,--,max1-1,--,PRJDB1593,182427758,0.9305,2/5/2016
DRX014484,Y10,5.52,27.89,0,root,--,max1-1,--,PRJDB1593,109750057,0.9298,2/5/2016
DRX014485,Y11,6.39,28.41,0,root,--,max1-1,--,PRJDB1593,167993289,0.9242,2/5/2016
DRX014494,RNA-seq of Arabidopsis ros1-3 plants under dehydration conditions,62.11,22.89,0,whole plant,--,wild type,--,PRJDB2508,12147911,0.9303,4/30/2015
DRX014495,RNA-seq of Arabidopsis ros1-3 plants under saline stress conditions,23.91,22.83,0,whole plant,--,wild type,--,PRJDB2508,17347800,0.8989,4/30/2015
DRX014496,RNA-seq of Arabidopsis ros1-3 plants under ABA conditions,63.5,26.49,0,whole plant,--,wild type,--,PRJDB2508,12516488,0.8799,4/30/2015
DRX014497,RNA-seq of Arabidopsis ros1-3 plants under mock conditions,81.02,23.1,0,whole plant,--,wild type,--,PRJDB2508,13572284,0.9061,4/30/2015
DRX014498,RNA-seq of Arabidopsis wildtype plants under dehydration conditions,59.93,25.16,0,whole plant,--,ros1-3 mutant,--,PRJDB2508,14718410,0.9244,4/30/2015
