Sample,Project,SampleName,PMID,Genotype,Ecotype,Tissue_raw,TotalReads,UniqueMappedRate,ReleaseDate,Count,Tissue,VegetativeRepro,AboveBelow
DRX007662,PRJDB2180,Arabidopsis WT-Col mRNA_seq,23934508,wild type,Col-0,/,30664389,0.86,4/2/2014,,other,other,other
DRX007663,PRJDB2180,Arabidopsis ibm1-4 mRNA_seq,23934508,ibm1-4,Col-0,/,38551905,0.91,4/2/2014,,other,other,other
DRX007664,PRJDB2180,Arabidopsis ibm2-2 mRNA_seq,23934508,ibm2-2,Col-0,/,37223057,0.83,4/2/2014,,other,other,other
DRX014481,PRJDB1593,Y1,/,wild type,/,root,95012910,0.9,2/5/2016,1662,Root,Root,Below
DRX014482,PRJDB1593,Y2,/,wild type,/,root,163269003,0.93,2/5/2016,1662,Root,Root,Below
DRX014483,PRJDB1593,Y9,/,max1-1,/,root,182427758,0.93,2/5/2016,1662,Root,Root,Below
DRX014484,PRJDB1593,Y10,/,max1-1,/,root,109750057,0.93,2/5/2016,1662,Root,Root,Below
DRX014485,PRJDB1593,Y11,/,max1-1,/,root,167993289,0.92,2/5/2016,1662,Root,Root,Below
DRX014494,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under dehydration conditions,/,wild type,/,whole plant,12147911,0.93,4/30/2015,,other,other,other
DRX014495,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under saline stress conditions,/,wild type,/,whole plant,17347800,0.9,4/30/2015,,other,other,other
DRX014496,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under ABA conditions,/,wild type,/,whole plant,12516488,0.88,4/30/2015,,other,other,other
DRX014497,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under mock conditions,/,wild type,/,whole plant,13572284,0.91,4/30/2015,,other,other,other
DRX014498,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under dehydration conditions,/,ros1-3 mutant,/,whole plant,14718410,0.92,4/30/2015,,other,other,other
DRX014499,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under saline stress conditions,/,ros1-3 mutant,/,whole plant,12516488,0.88,4/30/2015,,other,other,other
DRX014500,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under ABA conditions,/,ros1-3 mutant,/,whole plant,12816639,0.88,4/30/2015,,other,other,other
DRX014501,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under mock conditions,/,ros1-3 mutant,/,whole plant,15756706,0.87,4/30/2015,,other,other,other
DRX014502,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under ABA conditions,/,dml2;3 mutant,/,whole plant,16500234,0.93,4/30/2015,,other,other,other
DRX014503,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under mock conditions,/,dml2;3 mutant,/,whole plant,12068156,0.94,4/30/2015,,other,other,other
DRX014504,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under ABA conditions,/,dml2;3 mutant,/,whole plant,10330348,0.95,4/30/2015,,other,other,other
DRX014505,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under mock conditions,/,dml2;3 mutant,/,whole plant,14262187,0.93,4/30/2015,,other,other,other
DRX014506,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under dehydration conditions,/,ros1dml2;3 mutant,/,whole plant,12068156,0.94,4/30/2015,,other,other,other
DRX014507,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under saline stress conditions,/,ros1dml2;3 mutant,/,whole plant,10330348,0.95,4/30/2015,,other,other,other
DRX014508,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under dehydration conditions,/,ros1dml2;3 mutant,/,whole plant,12458301,0.88,4/30/2015,,other,other,other
