"RawName","Counts","Tissue","VegetativeRepro","AboveBelow","Debatable"
"seedlings",4402,"Seedling","WholePlant","WholePlant",NA
"leaves",3633,"Leaf","Vegetative","Above",NA
"root",1662,"Root","Root","Below",NA
"rosette leaf",1122,"Leaf","Vegetative","Above",NA
"leaf",871,"Leaf","Vegetative","Above",NA
"shoot",752,"Shoot","Vegetative","Above",NA
"whole plant",707,"WholePlant","WholePlant","WholePlant",NA
"seed",509,"Seed","Reproductive","Seed",NA
"aerial seedling",426,"Seedling","WholePlant","WholePlant",NA
"cotyledon",322,"Cotyledon","Vegetative","Above",NA
"seedling",254,"Seedling","WholePlant","WholePlant",NA
"hypocotyl",233,"Hypotocyl","Hypotocyl","Below",NA
"inflorescence",230,"Inflorescence","Reproductive","Above",NA
"aerial shoots",203,"Shoot","Vegetative","Above",NA
"/",185,NA,NA,NA,NA
"whole seedling",140,"Seedling","WholePlant","WholePlant",NA
"flower bud",123,"Flower","Reproductive","Above",NA
"root tip",110,"Root","Root","Below",NA
"stem",110,"Shoot","Vegetative","Above",NA
"whole organism",106,"WholePlant","WholePlant","WholePlant",NA
"Leaf",104,"Leaf","Vegetative","Above",NA
"ground tissue*",84,NA,NA,NA,NA
"flower",81,"Flower","Reproductive","Above",NA
"embryo",80,NA,NA,NA,NA
"Whole seedlings",77,"Seedling","WholePlant","WholePlant",NA
"shoot apex",77,"Shoot","Vegetative","Above",NA
"Root",75,"Root","Root","Below",NA
"rosette",75,"Leaf","Vegetative","Above",NA
"rosette leaves",74,"Leaf","Vegetative","Above",NA
"flower buds",69,"Flower","Reproductive","Above",NA
"4-week old leaves",60,"Leaf","Vegetative","Above",NA
"aerial tissues of 18 DAS plants",60,NA,NA,NA,NA
"whole rosette",59,"Leaf","Vegetative","Above",NA
"apical shoot meristem",57,"Shoot","Vegetative","Above",NA
"Shoot",56,"Shoot","Vegetative","Above",NA
"siliques",54,NA,NA,NA,NA
"apical part",53,"Shoot","Vegetative","Above",NA
"roots",52,"Root","Root","Below",NA
"root protoplasts",51,"Root cell","Root","Below",NA
"Three day old etiolated seedlings",48,"Seedling","WholePlant","WholePlant",NA
"shoot apical meristem",48,NA,NA,NA,NA
"apical meristem enriched",48,"Shoot","Vegetative","Above",NA
"anther",47,"Anther","Reproductive","Above",NA
"Seedlings",46,"Seedling","WholePlant","WholePlant",NA
"flower receptacles",42,"Flower","Reproductive","Above",NA
"Seedling",39,"Seedling","WholePlant","WholePlant",NA
"Leaves",39,"Leaf","Vegetative","Above",NA
"2-week seedlings",36,"Seedling","WholePlant","WholePlant",NA
"aerial part",35,"Shoot","Vegetative","Above",NA
"ovule",34,NA,NA,NA,NA
"cultured cell",33,NA,NA,NA,NA
"silique",33,NA,NA,NA,NA
"seedings",32,NA,NA,NA,NA
"shoots",31,"Shoot","Vegetative","Above",NA
"whole plants",31,"WholePlant","WholePlant","WholePlant",NA
"Rosette leaves",29,"Leaf","Vegetative","Above",NA
"sepal",29,"Sepal","Reproductive","Above",NA
"in vitro cotyledon",26,"Cotyledon","Vegetative","Above",NA
"7 days old whole seedling",26,"Seedling","WholePlant","WholePlant",NA
"leaf mesophyll",26,"Vasculature","Vegetative","Above",NA
"12-day-old whole seedling tissue",25,"Seedling","WholePlant","WholePlant",NA
"Rosette leaf",25,"Leaf","Vegetative","Above",NA
"Dry seed",24,NA,NA,NA,NA
"root and leaf",24,NA,NA,NA,NA
"inflorescences composed of all unopened floral buds",24,"Inflorescence","Reproductive","Above",NA
"12day seedlings",24,"Seedling","WholePlant","WholePlant",NA
"apices",23,"Shoot","Vegetative","Above",NA
"root QC cells",23,"Root cell","Root","Below",NA
"pistils",23,"Pistil","Reproductive","Above",NA
"internode",22,"Internode","Vegetative","Above",NA
"endosperm",22,NA,NA,NA,NA
"seedling shoot",21,"Seedling","WholePlant","WholePlant",NA
"complete seedling",21,"Seedling","WholePlant","WholePlant",NA
"shoot tip",21,"Shoot","Vegetative","Above",NA
"Pollinated stigma",20,"Stigma","Reproductive","Above",NA
"cell",19,NA,NA,NA,NA
"leaf tissue",19,"Leaf","Vegetative","Above",NA
"Inflorescence meristem",19,"Inflorescence","Reproductive","Above",NA
"Hypocotyls",18,"Hypotocyl","Hypotocyl","Below",NA
"6day seedlings",18,"Seedling","WholePlant","WholePlant",NA
"gynoecia",18,"Reproductive- Other","Reproductive","Above",NA
"pollen",17,NA,NA,NA,NA
"Inflorescence tissues",17,NA,NA,NA,NA
"petal",17,"Petal","Reproductive","Above",NA
"whole root",16,"Root","Root","Below",NA
"Flower",16,"Flower","Reproductive","Above",NA
"7-day-old root tips",16,"Root","Root","Below",NA
"plant callus",16,NA,NA,NA,NA
"leave",16,"Leaf","Vegetative","Above",NA
"1cm long root tips",16,"Root","Root","Below",NA
"collet",16,NA,NA,NA,NA
"complete rosette",15,"Leaf","Vegetative","Above",NA
"10day seedling",15,"Seedling","WholePlant","WholePlant",NA
"lower leaf epidermis",15,"Leaf","Vegetative","Above",NA
"rosettes",15,"Leaf","Vegetative","Above",NA
"root tips",15,"Root","Root","Below",NA
"carpels",14,"Carpel","Reproductive","Above",NA
"whole seedlings",13,"Seedling","WholePlant","WholePlant",NA
"5DAG seedlings",13,"Seedling","WholePlant","WholePlant",NA
"7-day old seedlings",12,"Seedling","WholePlant","WholePlant",NA
"rozettes",12,"Leaf","Vegetative","Above",NA
"zygote",12,NA,NA,NA,NA
"4-d-old seedlings",12,"Seedling","WholePlant","WholePlant",NA
"7 day-old seedlings",12,"Seedling","WholePlant","WholePlant",NA
"pollen grains",12,NA,NA,NA,NA
"Germinating seeds",12,"Seed","Reproductive",NA,NA
"plant seedlings",12,"Seedling","WholePlant","WholePlant",NA
"2weeks seedlings",12,"Seedling","WholePlant","WholePlant",NA
"Aerial",11,"Shoot","Vegetative","Above",NA
"growth points",11,NA,NA,NA,NA
"2 week old seedlings",11,"Seedling","WholePlant","WholePlant",NA
"root hair",11,"Root","Root","Below",NA
"primary root",11,"Root","Root","Below",NA
"Apical portions of plants (cut in hypocotyl)",11,"Root","Root","Below",NA
"Whole seedling",11,"Seedling","WholePlant","WholePlant",NA
"stigma",11,"Stigma","Reproductive","Above",NA
"stamen",11,"Stamen","Reproductive","Above",NA
"seedling root",10,"Seedling","WholePlant","WholePlant","Yes"
"7-day-old whole seedling",10,"Seedling","WholePlant","WholePlant",NA
"inflorescence (stage 1-12) immature flower buds",10,"Inflorescence","Reproductive","Above",NA
"leaf petiole",10,"Petiole","Vegetative","Above",NA
"etiolated seedlings",9,"Seedling","WholePlant","WholePlant",NA
"Endosperm",9,NA,NA,NA,NA
"stamens",9,"Stamen","Reproductive","Above",NA
