Sample,Project,SampleName,PMID,Genotype,Ecotype,Tissue,TotalReads,UniqueMappedRate,ReleaseDate
DRX007662,PRJDB2180,Arabidopsis WT-Col mRNA_seq,/,wild type,Col-0,/,30664389,86.20%,2014/4/2
DRX007663,PRJDB2180,Arabidopsis ibm1-4 mRNA_seq,/,ibm1-4,Col-0,/,38551905,91.10%,2014/4/2
DRX007664,PRJDB2180,Arabidopsis ibm2-2 mRNA_seq,/,ibm2-2,Col-0,/,37223057,83.40%,2014/4/2
DRX014481,PRJDB1593,Y1,/,wild type,/,root,95012910,89.80%,2016/2/5
DRX014482,PRJDB1593,Y2,/,wild type,/,root,163269003,92.90%,2016/2/5
DRX014483,PRJDB1593,Y9,/,max1-1,/,root,182427758,93.10%,2016/2/5
DRX014484,PRJDB1593,Y10,/,max1-1,/,root,109750057,93.00%,2016/2/5
DRX014485,PRJDB1593,Y11,/,max1-1,/,root,167993289,92.40%,2016/2/5
DRX014494,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under dehydration conditions,/,wild type,/,whole plant,12147911,93.00%,2015/4/30
DRX014495,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under saline stress conditions,/,wild type,/,whole plant,17347800,89.90%,2015/4/30
DRX014496,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under ABA conditions,/,wild type,/,whole plant,12516488,88.00%,2015/4/30
DRX014497,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under mock conditions,/,wild type,/,whole plant,13572284,90.60%,2015/4/30
DRX014498,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under dehydration conditions,/,ros1-3 mutant,/,whole plant,14718410,92.40%,2015/4/30
DRX014499,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under saline stress conditions,/,ros1-3 mutant,/,whole plant,12516488,88.00%,2015/4/30
DRX014500,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under ABA conditions,/,ros1-3 mutant,/,whole plant,12816639,87.60%,2015/4/30
DRX014501,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under mock conditions,/,ros1-3 mutant,/,whole plant,15756706,86.80%,2015/4/30
DRX014502,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under ABA conditions,/,dml2;3 mutant,/,whole plant,16500234,92.80%,2015/4/30
DRX014503,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under mock conditions,/,dml2;3 mutant,/,whole plant,12068156,93.60%,2015/4/30
DRX014504,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under ABA conditions,/,dml2;3 mutant,/,whole plant,10330348,94.50%,2015/4/30
DRX014505,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under mock conditions,/,dml2;3 mutant,/,whole plant,14262187,93.20%,2015/4/30
DRX014506,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under dehydration conditions,/,ros1dml2;3 mutant,/,whole plant,12068156,93.60%,2015/4/30
